Text;User;Location;Created;Favourite_count;Retweet_count;Source
RT @jaydenation: #BTSmeal but make it @Josiahchua customs. I guess you can call them 𝑨𝑹𝑴𝒀 𝑩𝑶𝑶𝑻𝑺 🤣🤣 https://t.co/RGYYwTrX7j;Itzi16⁷;No tiene;2021-06-23 20:51:33;0;1226;Twitter for iPhone
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;jaskamal;No tiene;2021-06-23 20:49:20;0;81;Twitter for iPhone
RT @McDonalds: who's who #BTSMeal https://t.co/cohe8T7sVG;liv⁷;she/her | 20;2021-06-23 20:47:24;0;81956;Twitter for iPhone
RT @Project0613PH: Sorry, but we're out of words so let's just cry over this. How we wish we could eat the same meal at the same table with…;koyaRM⁷🐋 #BTSLoveMyself;No tiene;2021-06-23 20:46:33;0;85;Twitter for Android
"The #BTSMeal  &amp; #MUSTER_SOWOOZOO , amazing #BTS and bday month";Dan;No tiene;2021-06-23 20:46:26;0;0;Twitter for iPhone
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;ilna;France;2021-06-23 20:46:14;0;81;Twitter Web App
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;badgalnatalia;No tiene;2021-06-23 20:45:19;0;81;Twitter for iPhone
"RT @Project0613PH: Look at him recognizing each member! We got ARMY everywhere, and it's just fun to share this with them. 💜

Also, he remi…";koyaRM⁷🐋 #BTSLoveMyself;No tiene;2021-06-23 20:44:50;0;46;Twitter for Android
RT @Project0613PH: Good morning, guys! We're still lost for words with how heartwarming this has been for all of us. Last night, when we re…;koyaRM⁷🐋 #BTSLoveMyself;No tiene;2021-06-23 20:43:48;0;293;Twitter for Android
"RT @9497k: just couldnt let this day pass without showing my love for joonie 😌💜✨ happy namjoon day! thanks for the free upsize @McDo_PH!

#…";느꼈어 제이케이; ;2021-06-23 20:41:08;0;4;Twitter for iPhone
"RT @Jonah_writer: My interview with McDo Philippines' Marketing head Margot Torres
MANILA BULLETIN: #BTSMeal sells nearly 1 million orders…";⟭⟬⁷ ᴮᴱ ⟬⟭⁷🧈 Butter Bitches;No tiene;2021-06-23 20:40:32;0;345;Twitter for Android
RT @jaydenation: #BTSmeal but make it @Josiahchua customs. I guess you can call them 𝑨𝑹𝑴𝒀 𝑩𝑶𝑶𝑻𝑺 🤣🤣 https://t.co/RGYYwTrX7j;ᴮᴱ《ナム》⁷ (ia)🧸🧈 ²⁴⁰⁵²⁰;No tiene;2021-06-23 20:39:46;0;1226;Twitter for Android
RT @Project0613PH: Good morning, guys! We're still lost for words with how heartwarming this has been for all of us. Last night, when we re…;ᴮᴱMina⁷🧈˙८ ˙;Purple universe;2021-06-23 20:39:32;0;293;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;🛍🧈ButterEra₇🌈🍟;No tiene;2021-06-23 20:38:50;0;81;Twitter for Android
"Finally I got my #BTSMeal 😋 🙌🏼
#BTS 🍟 https://t.co/dm5blUgkkw";Nataly ☀️🍃💗;No tiene;2021-06-23 20:38:10;1;0;Twitter for Android
"RT @McDonalds: Behind the Sauce: Making of Film
#BTSMeal 

https://t.co/vS1T7epAYG https://t.co/EKGkBe8MC1";Madahí_Jk♡;No tiene;2021-06-23 20:37:09;0;31190;Twitter for Android
"RT @geurim_art: Screenshot and see who you got for your #BTSMeal 
#BTS #btsfanart #artmy 
@BTS_twt https://t.co/RdmMvASmPc";bts fanart luv bot⁷;No tiene;2021-06-23 20:34:05;0;6;Twitter for iPhone
